"Adventures of Pinocchio, The (1996)","[(1.0, 'Year of the Horse (1997)'), (1.0, ""Wooden Man's Bride, The (Wu Kui) (1994)""), (1.0, 'Wonderland (1997)'), (1.0, 'Withnail and I (1987)'), (1.0, 'Wild Reeds (1994)'), (1.0, 'Wife, The (1995)'), (1.0, 'White Balloon, The (1995)'), (1.0, 'When the Cats Away (Chacun cherche son chat) (1996)'), (1.0, 'When Night Is Falling (1995)'), (1.0, 'Washington Square (1997)')]"
To Cross the Rubicon (1991),"[(1.0, 'Yankee Zulu (1994)'), (1.0, 'Wyatt Earp (1994)'), (1.0, 'Wrong Trousers, The (1993)'), (1.0, 'Woman in Question, The (1950)'), (1.0, 'Wolf (1994)'), (1.0, 'Withnail and I (1987)'), (1.0, 'With Honors (1994)'), (1.0, 'Wings of Desire (1987)'), (1.0, ""William Shakespeare's Romeo and Juliet (1996)""), (1.0, 'Wild Bill (1995)')]"
"Birdcage, The (1996)","[(1.0, '\xc1 k\xf6ldum klaka (Cold Fever) (1994)'), (1.0, 'You So Crazy (1994)'), (1.0, 'Witness (1985)'), (1.0, 'Wings of Courage (1995)'), (1.0, 'Wife, The (1995)'), (1.0, 'When Night Is Falling (1995)'), (1.0, 'Vermin (1998)'), (1.0, 'Two Friends (1986) '), (1.0, 'Tough and Deadly (1995)'), (1.0, 'Time Tracers (1995)')]"
B. Monkey (1998),"[(1.0, 'Saint, The (1997)'), (1.0, 'Red Corner (1997)'), (1.0, 'Mrs. Dalloway (1997)'), (1.0, 'Mimic (1997)'), (1.0, 'Mad City (1997)'), (1.0, 'Life Less Ordinary, A (1997)'), (1.0, 'Kundun (1997)'), (1.0, 'Indian Summer (1996)'), (1.0, 'In the Company of Men (1997)'), (1.0, 'I Know What You Did Last Summer (1997)')]"
Little Big League (1994),"[(1.0, 'Zeus and Roxanne (1997)'), (1.0, 'Yankee Zulu (1994)'), (1.0, 'Woman in Question, The (1950)'), (1.0, 'Withnail and I (1987)'), (1.0, 'Wings of Desire (1987)'), (1.0, ""White Man's Burden (1995)""), (1.0, 'What Happened Was... (1994)'), (1.0, ""Wend Kuuni (God's Gift) (1982)""), (1.0, 'Walking Dead, The (1995)'), (1.0, 'Vie est belle, La (Life is Rosey) (1987)')]"
"Magnificent Seven, The (1954)","[(1.0, 'Yankee Zulu (1994)'), (1.0, 'Woman in Question, The (1950)'), (1.0, 'Wife, The (1995)'), (1.0, 'Whole Wide World, The (1996)'), (1.0, 'When the Cats Away (Chacun cherche son chat) (1996)'), (1.0, ""Wend Kuuni (God's Gift) (1982)""), (1.0, 'Walking Dead, The (1995)'), (1.0, 'Vie est belle, La (Life is Rosey) (1987)'), (1.0, 'Vermont Is For Lovers (1992)'), (1.0, 'Underneath, The (1995)')]"
Chairman of the Board (1998),"[(1.0, 'Wings of the Dove, The (1997)'), (1.0, 'Welcome To Sarajevo (1997)'), (1.0, 'Swept from the Sea (1997)'), (1.0, 'Spawn (1997)'), (1.0, 'Shadow Conspiracy (1997)'), (1.0, 'Seven (Se7en) (1995)'), (1.0, 'Senseless (1998)'), (1.0, 'Red Corner (1997)'), (1.0, 'Ransom (1996)'), (1.0, 'Prophecy II, The (1998)')]"
Mortal Kombat (1995),"[(1.0, 'Yankee Zulu (1994)'), (1.0, 'Woman in Question, The (1950)'), (1.0, 'Withnail and I (1987)'), (1.0, 'Winter Guest, The (1997)'), (1.0, 'When a Man Loves a Woman (1994)'), (1.0, 'What Happened Was... (1994)'), (1.0, ""Wend Kuuni (God's Gift) (1982)""), (1.0, 'War Room, The (1993)'), (1.0, 'Vie est belle, La (Life is Rosey) (1987)'), (1.0, 'Vermont Is For Lovers (1992)')]"
Tin Men (1987),"[(1.0, '\xc1 k\xf6ldum klaka (Cold Fever) (1994)'), (1.0, 'Yankee Zulu (1994)'), (1.0, 'Wonderland (1997)'), (1.0, 'Woman in Question, The (1950)'), (1.0, 'Wings of Courage (1995)'), (1.0, 'When Night Is Falling (1995)'), (1.0, 'What Happened Was... (1994)'), (1.0, ""Wend Kuuni (God's Gift) (1982)""), (1.0, 'War Room, The (1993)'), (1.0, 'Walking Dead, The (1995)')]"
"Endless Summer 2, The (1994)","[(1.0, 'Yankee Zulu (1994)'), (1.0, 'Woman in Question, The (1950)'), (1.0, 'Wolf (1994)'), (1.0, 'Withnail and I (1987)'), (1.0, 'With Honors (1994)'), (1.0, 'Wings of Desire (1987)'), (1.0, 'Wild Bill (1995)'), (1.0, 'Wild America (1997)'), (1.0, ""White Man's Burden (1995)""), (1.0, 'When We Were Kings (1996)')]"
Village of the Damned (1995),"[(1.0, 'Winter Guest, The (1997)'), (1.0, 'Wife, The (1995)'), (1.0, ""Widows' Peak (1994)""), (1.0, 'Vermin (1998)'), (1.0, 'Underworld (1997)'), (1.0, 'Two if by Sea (1996)'), (1.0, 'Trust (1990)'), (1.0, 'Time Tracers (1995)'), (1.0, 'That Darn Cat! (1965)'), (1.0, 'Star Maps (1997)')]"
Careful (1992),"[(1.0, 'Yankee Zulu (1994)'), (1.0, 'Wyatt Earp (1994)'), (1.0, 'Wrong Trousers, The (1993)'), (1.0, 'Woman in Question, The (1950)'), (1.0, 'Wolf (1994)'), (1.0, 'Withnail and I (1987)'), (1.0, 'With Honors (1994)'), (1.0, 'Wings of Desire (1987)'), (1.0, ""William Shakespeare's Romeo and Juliet (1996)""), (1.0, 'Wild Bill (1995)')]"
Air Bud (1997),"[(1.0, ""Wooden Man's Bride, The (Wu Kui) (1994)""), (1.0, 'Women, The (1939)'), (1.0, 'Winter Guest, The (1997)'), (1.0, 'Wild Reeds (1994)'), (1.0, ""White Man's Burden (1995)""), (1.0, 'When a Man Loves a Woman (1994)'), (1.0, 'Vermin (1998)'), (1.0, 'Venice/Venice (1992)'), (1.0, 'Van, The (1996)'), (1.0, 'Unstrung Heroes (1995)')]"
Johnny 100 Pesos (1993),"[(1.0, ""Young Poisoner's Handbook, The (1995)""), (1.0, 'Year of the Horse (1997)'), (1.0, ""Wooden Man's Bride, The (Wu Kui) (1994)""), (1.0, 'Wonderland (1997)'), (1.0, 'Wishmaster (1997)'), (1.0, 'Wild Reeds (1994)'), (1.0, 'White Balloon, The (1995)'), (1.0, 'When the Cats Away (Chacun cherche son chat) (1996)'), (1.0, 'Welcome to the Dollhouse (1995)'), (1.0, 'Washington Square (1997)')]"
"Bye Bye, Love (1995)","[(1.0, 'Wings of the Dove, The (1997)'), (1.0, ""Widows' Peak (1994)""), (1.0, 'Welcome to the Dollhouse (1995)'), (1.0, 'Walkabout (1971)'), (1.0, 'Waiting to Exhale (1995)'), (1.0, 'Two Much (1996)'), (1.0, 'Trigger Effect, The (1996)'), (1.0, 'Transformers: The Movie, The (1986)'), (1.0, 'Touch of Evil (1958)'), (1.0, 'To Be or Not to Be (1942)')]"
Men With Guns (1997),"[(1.0, '\xc1 k\xf6ldum klaka (Cold Fever) (1994)'), (1.0, 'Young Frankenstein (1974)'), (1.0, 'Wizard of Oz, The (1939)'), (1.0, 'Wings of the Dove, The (1997)'), (1.0, 'Wild Things (1998)'), (1.0, 'Wild Reeds (1994)'), (1.0, 'White Balloon, The (1995)'), (1.0, 'When the Cats Away (Chacun cherche son chat) (1996)'), (1.0, 'When a Man Loves a Woman (1994)'), (1.0, 'When Night Is Falling (1995)')]"
